30033 Puerto Lumbreras;30033;Puerto Lumbreras;-1.807.131.551;3.755.410.373;14981;15020;14874;14694;14610;14564;14742;14339;14120;13947;13612;12964;12881;12487;12037;11794;11439;11069;10859;10658;10585; ;10474;7519;7541;7457;7357;7296;7288;7414;7175;7071;7008;6798;6456;6423;6274;6040;5923;5732;5477;5338;5220;5175; ;5091;7462;7479;7417;7337;7314;7276;7328;7164;7049;6939;6814;6508;6458;6213;5997;5871;5707;5592;5521;5438;5410;NA;5383
30034 Ricote;30034;Ricote;-1.418.649.982;3.815.797.054;1301;1315;1332;1369;1398;1417;1452;1456;1441;1519;1546;1531;1527;1538;1509;1526;1569;1561;1582;1579;1604; ;1603;688;695;701;718;724;727;750;748;742;771;782;771;762;761;748;751;772;768;771;769;783; ;778;613;620;631;651;674;690;702;708;699;748;764;760;765;777;761;775;797;793;811;810;821;NA;825
30035 San Javier;30035;San Javier;-0.77004994;3.776.341.099;31905;31695;31782;31915;31988;32786;32641;32366;31820;31432;30653;29167;27622;26337;24686;23481;21782;20402;18925;18267;17523; ;16773;16033;15960;16030;16167;16262;16734;16706;16564;16264;16114;15808;15039;14280;13660;12766;12196;11200;10486;9550;9242;8923; ;8561;15872;15735;15752;15748;15726;16052;15935;15802;15556;15318;14845;14128;13342;12677;11920;11285;10582;9916;9375;9025;8600;NA;8212
30036 San Pedro del Pinatar;30036;San Pedro del Pinatar;-0.777358935;3.782.642.494;25167;24903;24660;24339;24091;24102;24285;24093;23903;23738;23272;22217;21234;19666;18746;18279;17199;16269;15583;15008;14487; ;13644;12733;12590;12441;12293;12175;12186;12297;12167;12128;12053;11888;11342;10834;9923;9470;9288;8675;8138;7685;7409;7147; ;6704;12434;12313;12219;12046;11916;11916;11988;11926;11775;11685;11384;10875;10400;9743;9276;8991;8524;8131;7898;7599;7340;NA;6940
30901 Santomera;30901;Santomera;-1.068.921.593;380.890.596;16105;16058;15952;16012;15860;15793;15709;15649;15481;15319;14948;14323;13919;13417;12777;12434;12131;11566;10972;10594;10306; ;9978;8093;8120;8081;8157;8055;8024;7983;7975;7872;7778;7605;7307;7094;6812;6460;6294;6146;5831;5490;5310;5174; ;4996;8012;7938;7871;7855;7805;7769;7726;7674;7609;7541;7343;7016;6825;6605;6317;6140;5985;5735;5482;5284;5132;NA;4982
30037 Torre-Pacheco;30037;Torre-Pacheco;-0.955931041;3.779.396.368;35614;35198;34630;34469;34151;33575;33911;33218;32471;31495;30351;29187;28152;27400;26806;27092;25721;24152;22719;21937;21301; ;20345;18542;18381;18039;17975;17789;17521;17728;17415;17046;16592;16099;15634;15059;14658;14439;15025;14327;13405;12499;12030;11633; ;10797;17072;16817;16591;16494;16362;16054;16183;15803;15425;14903;14252;13553;13093;12742;12367;12067;11394;10747;10220;9907;9668;NA;9548
30038 Torres de Cotillas, Las;30038;Torres de Cotillas, Las;-1.262.736.901;38.024.781;21375;21420;21341;21399;21404;21565;21608;21443;21282;21062;20456;19611;18842;18134;17565;17141;16695;16394;16003;15617;15380; ;15093;10868;10884;10809;10854;10895;10992;11046;11041;10972;10892;10598;10061;9645;9266;8955;8732;8501;8318;8076;7821;7705; ;7557;10507;10536;10532;10545;10509;10573;10562;10402;10310;10170;9858;9550;9197;8868;8610;8409;8194;8076;7927;7796;7675;NA;7536
30039 Totana;30039;Totana;-1.564.788.082;3.777.888.828;31639;31394;30981;30916;30669;30448;30549;29961;29333;29211;28976;28742;28360;27714;26435;26361;25332;23756;22359;21973;21666; ;21441;16299;16154;15962;15924;15790;15658;15740;15451;15123;15059;14997;14871;14716;14360;13627;13747;13157;12223;11314;11056;10882; ;10718;15340;15240;15019;14992;14879;14790;14809;14510;14210;14152;13979;13871;13644;13354;12808;12614;12175;11533;11045;10917;10784;NA;10723
30040 Ulea;30040;Ulea;-1.285.406.754;3.815.552.378;879;891;913;906;912;935;926;919;921;939;956;991;955;968;989;999;999;981;959;956;971; ;1010;451;460;476;471;465;480;471;474;475;489;501;518;494;497;503;507;510;502;483;476;479; ;505;428;431;437;435;447;455;455;445;446;450;455;473;461;471;486;492;489;479;476;480;492;NA;505
30041 Uni¢n, La;30041;Unión, La;-0.873286376;3.760.354.677;19907;19764;19630;19572;19452;19263;19009;18825;18366;17737;17107;16471;16082;15599;15287;15172;14965;14793;14606;14386;14188; ;14046;10085;10031;9966;9916;9831;9704;9562;9486;9234;8906;8605;8273;8089;7840;7671;7620;7514;7417;7298;7171;7061; ;6952;9822;9733;9664;9656;9621;9559;9447;9339;9132;8831;8502;8198;7993;7759;7616;7552;7451;7376;7308;7215;7127;NA;7094
30042 Villanueva del R¡o Segura;30042;Villanueva del Río Segura;-1.323.774.485;3.810.487.578;2758;2650;2560;2524;2444;2449;2445;2396;2354;2270;2186;2042;1853;1803;1749;1599;1580;1569;1568;1555;1458; ;1469;1387;1323;1284;1270;1230;1210;1209;1193;1158;1124;1077;999;902;872;838;776;771;761;755;746;705; ;701;1371;1327;1276;1254;1214;1239;1236;1203;1196;1146;1109;1043;951;931;911;823;809;808;813;809;753;NA;768
30043 Yecla;30043;Yecla;-1.129.597.038;3.865.513.715;34234;34092;34037;34100;34130;34393;34601;34813;34945;35025;34869;34161;33964;33553;32988;32468;31716;30872;29319;28772;28522; ;28415;17157;17123;17064;17071;17114;17232;17373;17510;17605;17668;17648;17280;17238;17032;16742;16502;16085;15665;14742;14431;14292; ;14207;17077;16969;16973;17029;17016;17161;17228;17303;17340;17357;17221;16881;16726;16521;16246;15966;15631;15207;14577;14341;14230;NA;14208
