id;Cod_Municipio;Municipio;long;lat;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996
30019 Cieza;30019 ;Cieza;-1.426020001;38.24583313;34,889;34,987;35,134;35,115;35,064;35,240;35,351;35,425;35,385;35,200;35,144;34,898;34,735;34,318;33,825;33,701;33,223;32,935;32,126;31,725;31,637; ;31,680;17,486;17,576;17,689;17,658;17,614;17,676;17,720;17,755;17,775;17,666;17,623;17,554;17,478;17,195;16,858;16,745;16,445;16,242;15,752;15,580;15,482; ;15,442;17,403;17,411;17,445;17,457;17,450;17,564;17,631;17,670;17,610;17,534;17,521;17,344;17,257;17,123;16,967;16,956;16,778;16,693;16,374;16,145;16,155; ;16,238
30020 Fortuna;30020 ;Fortuna;-1.124353562;38.18484312;10,060;10,049;9,960;9,814;9,714;9,623;10,098;10,002;9,813;9,583;9,274;8,939;8,665;8,108;7,707;7,446;7,194;6,991;6,814;6,652;6,502; ;6,295;5,363;5,365;5,325;5,244;5,156;5,115;5,356;5,347;5,233;5,078;4,892;4,719;4,580;4,248;3,992;3,853;3,713;3,599;3,475;3,395;3,310; ;3,212;4,697;4,684;4,635;4,570;4,558;4,508;4,742;4,655;4,580;4,505;4,382;4,220;4,085;3,860;3,715;3,593;3,481;3,392;3,339;3,257;3,192; ;3,083
30021 Fuente µlamo de Murcia;30021 ;Fuente µlamo de Murcia;-1.174113945;37.74904157;16,184;16,180;16,205;16,284;16,338;16,679;16,175;15,873;15,193;14,876;14,925;14,400;14,261;13,942;13,210;12,503;11,866;11,371;10,140;9,606;9,451; ;9,046;8,459;8,452;8,427;8,498;8,524;8,761;8,472;8,368;8,000;7,861;7,952;7,641;7,642;7,515;7,024;6,751;6,374;6,079;5,201;4,862;4,771; ;4,523;7,725;7,728;7,778;7,786;7,814;7,918;7,703;7,505;7,193;7,015;6,973;6,759;6,619;6,427;6,186;5,752;5,492;5,292;4,939;4,744;4,680; ;4,523
30022 Jumilla;30022 ;Jumilla;-1.275132317;38.46881769;25,547;25,672;25,362;25,484;25,476;25,710;25,711;25,926;26,015;25,685;25,348;24,596;24,124;24,188;23,958;23,666;22,968;22,250;20,854;20,573;20,420; ;20,439;13,334;13,416;13,174;13,181;13,211;13,338;13,383;13,532;13,626;13,367;13,113;12,698;12,421;12,496;12,280;12,202;11,790;11,364;10,426;10,226;10,148; ;10,143;12,213;12,256;12,188;12,303;12,265;12,372;12,328;12,394;12,389;12,318;12,235;11,898;11,703;11,692;11,678;11,464;11,178;10,886;10,428;10,347;10,272; ;10,296
30023 Librilla;30023 ;Librilla;-1.341557637;37.90330623;5,196;5,160;5,107;5,016;4,900;4,839;4,842;4,730;4,614;4,534;4,455;4,378;4,243;4,160;4,088;4,025;3,997;3,945;3,908;3,873;3,823; ;3,759;2,654;2,632;2,607;2,571;2,504;2,461;2,451;2,396;2,321;2,276;2,235;2,196;2,139;2,100;2,055;2,026;1,991;1,955;1,924;1,897;1,888; ;1,849;2,542;2,528;2,500;2,445;2,396;2,378;2,391;2,334;2,293;2,258;2,220;2,182;2,104;2,060;2,033;1,999;2,006;1,990;1,984;1,976;1,935; ;1,910
30024 Lorca;30024 ;Lorca;-1.702298859;37.61908791;93,079;92,299;91,730;91,714;91,759;92,718;92,865;92,869;92,694;91,906;90,924;89,606;89,936;87,153;84,245;82,511;79,481;77,075;72,000;70,689;69,930; ;69,045;47,660;47,240;46,949;46,986;47,126;47,909;48,135;48,202;48,171;47,784;47,421;46,926;47,370;45,517;43,484;42,547;40,756;39,237;35,821;35,040;34,607; ;34,099;45,419;45,059;44,781;44,728;44,633;44,809;44,730;44,667;44,523;44,122;43,503;42,680;42,566;41,636;40,761;39,964;38,725;37,838;36,179;35,649;35,323; ;34,946
30025 Lorqu¡;30025 ;Lorqu¡;-1.252556659;38.09850264;7,002;7,039;6,969;7,020;6,948;6,954;6,983;7,048;7,038;6,996;6,904;6,714;6,493;6,277;6,115;5,922;5,883;5,706;5,562;5,527;5,482; ;5,424;3,543;3,577;3,536;3,555;3,536;3,547;3,580;3,618;3,621;3,616;3,570;3,470;3,369;3,218;3,119;3,007;2,984;2,864;2,772;2,755;2,724; ;2,671;3,459;3,462;3,433;3,465;3,412;3,407;3,403;3,430;3,417;3,380;3,334;3,244;3,124;3,059;2,996;2,915;2,899;2,842;2,790;2,772;2,758; ;2,753
30026 Mazarr¢n;30026 ;Mazarr¢n;-1.316520742;37.58640826;31,562;30,996;30,704;32,150;32,718;35,661;35,408;35,473;35,464;35,221;34,351;32,616;30,841;28,889;26,122;24,969;23,025;21,229;18,847;17,478;16,829; ;16,142;16,308;15,992;15,835;16,627;16,962;18,535;18,436;18,545;18,614;18,579;18,185;17,324;16,459;15,508;14,003;13,543;12,540;11,465;9,840;8,941;8,560; ;8,136;15,254;15,004;14,869;15,523;15,756;17,126;16,972;16,928;16,850;16,642;16,166;15,292;14,382;13,381;12,119;11,426;10,485;9,764;9,007;8,537;8,269; ;8,006
30027 Molina de Segura;30027 ;Molina de Segura;-1.198597208;38.09564062;70,964;70,344;69,614;69,331;68,775;68,450;67,382;66,775;65,815;64,065;62,407;59,365;57,431;54,673;52,588;50,545;48,421;46,252;44,389;43,097;42,008; ;41,109;35,392;35,035;34,700;34,617;34,372;34,292;33,785;33,540;33,094;32,194;31,587;29,984;29,012;27,541;26,371;25,350;24,273;23,138;22,104;21,403;20,854; ;20,264;35,572;35,309;34,914;34,714;34,403;34,158;33,597;33,235;32,721;31,871;30,820;29,381;28,419;27,132;26,217;25,195;24,148;23,114;22,285;21,694;21,154; ;20,845
30028 Moratalla;30028 ;Moratalla;-1.913310159;38.23179206;7,954;8,048;8,145;8,189;8,219;8,229;8,290;8,382;8,444;8,455;8,424;8,379;8,414;8,473;8,549;8,562;8,600;8,436;8,460;8,574;8,574; ;8,621;4,051;4,116;4,153;4,165;4,176;4,182;4,209;4,256;4,313;4,312;4,276;4,255;4,286;4,333;4,368;4,378;4,390;4,275;4,275;4,357;4,357; ;4,369;3,903;3,932;3,992;4,024;4,043;4,047;4,081;4,126;4,131;4,143;4,148;4,124;4,128;4,140;4,181;4,184;4,210;4,161;4,185;4,217;4,217; ;4,252
30029 Mula;30029 ;Mula;-1.53660998;37.99296158;16,790;16,713;16,689;16,805;17,008;17,057;16,968;17,067;17,076;16,941;16,942;16,570;16,283;16,004;15,592;15,372;14,870;14,501;13,738;13,632;13,518; ;13,386;8,619;8,558;8,526;8,599;8,754;8,782;8,715;8,744;8,742;8,726;8,771;8,564;8,397;8,233;7,959;7,839;7,563;7,342;6,819;6,783;6,713; ;6,636;8,171;8,155;8,163;8,206;8,254;8,275;8,253;8,323;8,334;8,215;8,171;8,006;7,886;7,771;7,633;7,533;7,307;7,159;6,919;6,849;6,805; ;6,750
30030 Murcia;30030 ;Murcia;-1.163635366;37.94398916;447,182;443,243;441,003;439,889;439,712;438,246;441,354;442,203;441,345;436,870;430,571;422,861;416,996;409,810;398,815;391,146;377,888;367,189;357,166;353,504;349,040; ;345,759;218,511;216,548;215,535;215,177;215,226;214,904;217,338;218,324;218,501;216,744;213,786;210,377;207,800;203,474;196,770;192,768;185,532;179,893;174,017;171,986;169,669; ;168,065;228,671;226,695;225,468;224,712;224,486;223,342;224,016;223,879;222,844;220,126;216,785;212,484;209,196;206,336;202,045;198,378;192,356;187,296;183,149;181,518;179,371; ;177,694
